sku,name_ar,category_name_ar,issue_type,severity,included_in_feed,detail
TF-AC-043,غاز تبريد R410A,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-042,فان شارج R410A,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-041,ماملو 3/4 خاوي,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-040,ماملو 5/8 خاوي,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-039,ماملو 1/2 خاوي,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-038,ماملو 3/8 خاوي,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-037,ماملو 1/4 خاوي,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-036,راكور كليم 3/4,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-035,راكور كليم 5/8,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-034,راكور كليم 1/2,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-033,راكور كليم 3/8,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-032,راكور كليم 1/4,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-031,نحاس كليم 5/8,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-030,نحاس كليم 1/2,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-029,نحاس كليم 3/8,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-028,نحاس كليم 1/4,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-027,لارمافليكس كليم 9/18,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-026,لارمافليكس كليم 9/15,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-025,لارمافليكس كليم 9/10,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-024,لارمافليكس كليم 9/6,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-023,تيليكوموند مكيف LG أصلي,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-022,تيليكوموند مكيف Unionaire أصلي,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
