sku,name_ar,image_path,reason,has_price_or_text_or_screenshot,suggested_action,priority
TF-RF-005,مانو غاز برو CT-467,product-images/TF-RF-005/TF-RF-005-single-gas-manometer.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-RF-006,بومبا فيد,product-images/TF-RF-006/TF-RF-006-vacuum-pump.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-RF-007,فرفارة ثلاجة 12V بثلاثة خيوط,product-images/TF-RF-007/TF-RF-007-fridge-fan-12v.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-RF-008,ديدجنير كبير احترافي,product-images/TF-RF-008/TF-RF-008-large-flaring-kit.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-RF-009,ديدجنير صغير,product-images/TF-RF-009/TF-RF-009-small-flaring-tool.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-RF-010,غاز التبريد R32 حجم 3kg,product-images/TF-RF-010/TF-RF-010-r32-gas-3kg.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-RF-012,فرفارة مكيف LG,product-images/TF-RF-012/TF-RF-012-lg-ac-fan.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-RF-013,تلكموند مكيف يونيفرسال,product-images/TF-RF-013/TF-RF-013-universal-ac-remote.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-RF-016,كوب تيب كبير,product-images/TF-RF-016/TF-RF-016-large-tube-cutter.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-WM-004,جلدة الماء (مانع تسرب المياه) جميع المقاسات,product-images/TF-WM-004/TF-WM-004-dryer-pressostat-seal-2.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-RF-021,راس شارج R600,product-images/shared/TF-RF-021-022-charging-heads.jpg,لقطة شاشة إعلانية كاملة (منشور Instagram/هاتف) فيها ثمن واسم المنتج وواجهة الهاتف مطبوعة على الصورة نفسها,نعم,إعادة تصوير المنتج بصورة عادية بدون تصميم إعلاني، أو تصميم Graphic جديد يدوياً إذا لزم الاحتفاظ بالسعر — لا يمكن تنظيفها آلياً بأمان (Inpainting مطلوب),متوسطة
TF-WM-046,فران موطور نشاف,product-images/TF-WM-046/TF-WM-046-1.webp,شعار جزئي/مقصوص يظهر في حافة الصورة (شريط برتقالي غير مكتمل) — غير مؤكد إن كان شعار Tayssir Froid سابق أو عنصر آخر، لتفادي تكرار أو إتلاف الشعار لم تُعدَّل,غير مؤكد,مراجعة يدوية لتأكيد الشعار ثم توحيد الحجم يدوياً أو بعد التأكيد,منخفضة
